STATISTIÈNA REGIJA;LETO;Regionalni bruto domaèi proizvod na prebivalca, indeks ravni [Slovenija vsa leta = 100]
Pomurska;2000;70.4
Pomurska;2001;69.9
Pomurska;2002;69.0
Pomurska;2003;67.2
Pomurska;2004;67.6
Pomurska;2005;66.5
Pomurska;2006;65.0
Pomurska;2007;64.1
Pomurska;2008;63.4
Pomurska;2009;64.4
Pomurska;2010;64.2
Pomurska;2011;66.0
Pomurska;2012;67.0
Pomurska;2013;68.1
Pomurska;2014;68.1
Pomurska;2015;66.5
Podravska;2000;82.3
Podravska;2001;82.3
Podravska;2002;83.4
Podravska;2003;81.8
Podravska;2004;82.2
Podravska;2005;82.3
Podravska;2006;82.9
Podravska;2007;83.4
Podravska;2008;83.8
Podravska;2009;83.2
Podravska;2010;82.5
Podravska;2011;83.0
Podravska;2012;82.8
Podravska;2013;82.6
Podravska;2014;83.2
Podravska;2015;82.7
Koroška;2000;84.3
Koroška;2001;85.2
Koroška;2002;81.7
Koroška;2003;79.6
Koroška;2004;78.7
Koroška;2005;79.4
Koroška;2006;77.6
Koroška;2007;77.2
Koroška;2008;76.7
Koroška;2009;74.1
Koroška;2010;74.2
Koroška;2011;76.6
Koroška;2012;78.7
Koroška;2013;79.5
Koroška;2014;80.2
Koroška;2015;80.8
Savinjska;2000;90.1
Savinjska;2001;88.6
Savinjska;2002;89.8
Savinjska;2003;88.5
Savinjska;2004;88.5
Savinjska;2005;89.1
Savinjska;2006;87.5
Savinjska;2007;87.4
Savinjska;2008;89.5
Savinjska;2009;88.7
Savinjska;2010;90.6
Savinjska;2011;91.8
Savinjska;2012;91.9
Savinjska;2013;91.5
Savinjska;2014;91.5
Savinjska;2015;92.1
Zasavska;2000;73.6
Zasavska;2001;71.1
Zasavska;2002;66.9
Zasavska;2003;64.0
Zasavska;2004;63.3
Zasavska;2005;63.7
Zasavska;2006;61.8
Zasavska;2007;60.6
Zasavska;2008;60.6
Zasavska;2009;60.4
Zasavska;2010;61.0
Zasavska;2011;60.5
Zasavska;2012;58.7
Zasavska;2013;58.8
Zasavska;2014;56.5
Zasavska;2015;53.8
Spodnjaposavska;2000;83.7
Spodnjaposavska;2001;83.1
Spodnjaposavska;2002;84.7
Spodnjaposavska;2003;79.3
Spodnjaposavska;2004;79.1
Spodnjaposavska;2005;80.9
Spodnjaposavska;2006;79.3
Spodnjaposavska;2007;79.3
Spodnjaposavska;2008;80.1
Spodnjaposavska;2009;81.5
Spodnjaposavska;2010;81.6
Spodnjaposavska;2011;82.9
Spodnjaposavska;2012;83.2
Spodnjaposavska;2013;84.1
Spodnjaposavska;2014;84.1
Spodnjaposavska;2015;83.5
Jugovzhodna Slovenija;2000;98.0
Jugovzhodna Slovenija;2001;96.7
Jugovzhodna Slovenija;2002;96.8
Jugovzhodna Slovenija;2003;96.0
Jugovzhodna Slovenija;2004;97.3
Jugovzhodna Slovenija;2005;95.5
Jugovzhodna Slovenija;2006;97.6
Jugovzhodna Slovenija;2007;96.9
Jugovzhodna Slovenija;2008;96.6
Jugovzhodna Slovenija;2009;94.7
Jugovzhodna Slovenija;2010;95.2
Jugovzhodna Slovenija;2011;94.9
Jugovzhodna Slovenija;2012;93.9
Jugovzhodna Slovenija;2013;95.0
Jugovzhodna Slovenija;2014;95.8
Jugovzhodna Slovenija;2015;96.0
Osrednjeslovenska;2000;139.9
Osrednjeslovenska;2001;141.4
Osrednjeslovenska;2002;141.3
Osrednjeslovenska;2003;146.0
Osrednjeslovenska;2004;145.7
Osrednjeslovenska;2005;146.5
Osrednjeslovenska;2006;147.9
Osrednjeslovenska;2007;147.4
Osrednjeslovenska;2008;145.1
Osrednjeslovenska;2009;146.9
Osrednjeslovenska;2010;145.3
Osrednjeslovenska;2011;144.2
Osrednjeslovenska;2012;145.1
Osrednjeslovenska;2013;143.8
Osrednjeslovenska;2014;142.1
Osrednjeslovenska;2015;141.3
Gorenjska;2000;88.6
Gorenjska;2001;89.5
Gorenjska;2002;89.0
Gorenjska;2003;88.3
Gorenjska;2004;88.5
Gorenjska;2005;87.0
Gorenjska;2006;85.4
Gorenjska;2007;85.4
Gorenjska;2008;84.5
Gorenjska;2009;81.0
Gorenjska;2010;82.8
Gorenjska;2011;82.9
Gorenjska;2012;83.2
Gorenjska;2013;85.7
Gorenjska;2014;87.8
Gorenjska;2015;87.9
Notranjsko-kraška;2000;80.8
Notranjsko-kraška;2001;78.0
Notranjsko-kraška;2002;77.4
Notranjsko-kraška;2003;75.5
Notranjsko-kraška;2004;74.7
Notranjsko-kraška;2005;73.1
Notranjsko-kraška;2006;72.5
Notranjsko-kraška;2007;72.3
Notranjsko-kraška;2008;72.3
Notranjsko-kraška;2009;72.8
Notranjsko-kraška;2010;70.5
Notranjsko-kraška;2011;69.9
Notranjsko-kraška;2012;68.8
Notranjsko-kraška;2013;70.2
Notranjsko-kraška;2014;71.8
Notranjsko-kraška;2015;73.8
Goriška;2000;97.4
Goriška;2001;97.4
Goriška;2002;97.0
Goriška;2003;95.3
Goriška;2004;93.9
Goriška;2005;93.7
Goriška;2006;92.8
Goriška;2007;94.8
Goriška;2008;95.4
Goriška;2009;94.2
Goriška;2010;93.6
Goriška;2011;92.2
Goriška;2012;91.1
Goriška;2013;90.6
Goriška;2014;90.6
Goriška;2015;91.7
Obalno-kraška;2000;106.5
Obalno-kraška;2001;105.8
Obalno-kraška;2002;106.1
Obalno-kraška;2003;105.9
Obalno-kraška;2004;105.5
Obalno-kraška;2005;104.5
Obalno-kraška;2006;105.2
Obalno-kraška;2007;105.6
Obalno-kraška;2008;107.1
Obalno-kraška;2009;108.1
Obalno-kraška;2010;108.7
Obalno-kraška;2011;106.1
Obalno-kraška;2012;101.4
Obalno-kraška;2013;98.3
Obalno-kraška;2014;97.5
Obalno-kraška;2015;100.2
